"matchID","summonerID","team","assists","deaths","doubleKills","firstBloodAssist","firstBloodKill","firstInhibitorAssist","firstInhibitorKill","firstTowerAssist","firstTowerKill","goldEarned","goldSpent","inhibitorKills","item0ID","item1ID","item2ID","item3ID","item4ID","item5ID","item6ID","killingSprees","kills","largestCriticalStrike","largestKillingSpree","largestMultiKill","level","magicDamageDealt","magicDamageDealtToChampions","magicDamageTaken","minionsKilled","neutralMinionsKilled","neutralMinionsKilledEnemyJungle","neutralMinionsKilledTeamJungle","pentaKills","physicalDamageDealt","physicalDamageDealtToChampions","physicalDamageTaken","quadraKills","sightWardsBought","teamObjectives","totalDamageDealt","totalDamageDealtToChampions","totalDamageTaken","totalHealing","totalTimeCrowdControlDealt","totalUnitsHealed","towerKills","tripleKills","trueDamageDealt","trueDamageDealtToChampions","trueDamageTaken","unrealKills","visionWardsBought","wardsKilled","wardsPlaced","winner"
"2044370759","53729668","BLUE","5","6","0","false","true","false","false","false","false","9802","8520","0","1054","3071","3068","3047","2003","3211","3340","0","4","0","0","1","15","23378","3513","10971","176","0","0","0","0","99997","15109","17427","0","0","0","124731","19979","29202","6244","41","1","1","0","1356","1356","803","0","0","0","5","false"
"2044370759","62745128","BLUE","6","8","1","false","false","false","false","false","false","8664","8505","0","3725","2003","1001","3027","3116","0","3340","2","5","0","2","2","13","64123","12550","15372","37","53","0","53","0","17781","1355","18145","0","0","0","95673","14269","34141","7057","542","1","0","0","13768","364","624","0","0","1","3","false"
"2044370759","51667529","BLUE","6","8","0","false","false","false","false","false","false","7380","7310","0","3098","2049","3157","3117","3010","0","3341","0","3","0","0","1","12","15494","9184","7122","19","0","0","0","0","3415","1034","7691","0","1","0","18909","10219","15289","40","120","1","0","0","0","0","476","0","2","2","23","false"
"2044370759","40800173","BLUE","3","5","1","false","false","false","false","false","false","10124","8935","0","1055","3087","3031","3006","1053","0","3340","2","6","575","3","2","14","3697","749","4999","172","6","1","5","0","121142","15280","8452","0","2","0","125146","16100","13755","822","165","2","1","0","306","70","304","0","0","1","10","false"
"2044370759","36671721","BLUE","6","5","0","false","false","false","false","false","false","6961","6217","0","3134","3260","3083","0","0","1036","3340","0","2","402","0","1","14","9163","2729","14035","62","1","0","1","0","42133","6600","7235","0","4","0","53166","10208","22143","483","112","1","0","0","1870","878","873","0","0","1","11","false"
"2044370759","62852198","PURPLE","9","7","0","false","false","false","false","false","false","10191","8170","0","3143","3068","3111","3155","0","0","3340","0","3","0","0","1","15","57991","9243","8171","157","5","5","0","0","57275","8025","15284","0","0","0","115266","17268","24287","1436","668","1","2","0","0","0","832","0","0","0","7","true"
"2044370759","59026937","PURPLE","6","2","3","false","false","false","true","false","false","13571","12175","1","1055","3046","3031","3072","1036","3006","3340","1","13","792","12","3","15","1298","880","2615","204","4","2","2","0","142642","23008","7105","0","0","0","145100","24959","10120","242","187","2","1","2","1159","1071","400","0","1","0","7","true"
"2044370759","60077837","PURPLE","14","2","0","false","false","true","false","false","false","8509","7895","0","3401","3117","3025","2049","3801","2043","3341","0","0","0","0","0","14","13070","1964","8008","44","1","1","0","0","11105","1197","12259","0","2","0","29284","3161","20575","13731","36","5","1","0","5108","0","308","0","2","4","20","true"
"2044370759","42855854","PURPLE","12","2","1","false","false","true","false","false","false","12123","11530","0","3001","3116","1011","1029","3725","3265","3361","1","7","0","6","2","15","100198","13458","5263","51","71","14","57","0","19627","970","21312","0","2","0","144365","14632","27510","3367","920","1","1","0","24540","204","934","0","2","1","13","true"
"2044370759","21367059","PURPLE","13","7","1","false","false","true","false","false","true","12304","11680","0","3116","3152","3020","3089","3191","0","3340","2","9","0","4","2","15","129460","26954","4668","151","11","1","10","0","15188","697","10711","0","0","0","146501","29456","15574","1669","114","1","2","0","1852","1805","194","0","1","1","10","true"
